endpoint,st_rae,mae,r2,spearman_rho,kendall_tau,n,prediction_sd,observed_sd
CYP1A2,0.669469545287005,0.7692446931381018,-0.06429706070236496,0.28274099104324896,0.19342468696218074,1412,0.4360611879942816,1.0304762090703399
CYP2C9,0.8862258587718249,0.8516695305400778,-0.8481172380603426,0.2840650221297458,0.192397299295732,1285,0.3874290739962707,0.7822945488735998
CYP2D6,1.021610249385578,0.8667783652170128,-0.5362004531691253,0.2199675627714985,0.1489129790676418,1493,0.4330710795626084,0.9160961500266338
CYP3A4,1.0151806594787247,1.3108888017156317,-1.1588363735150948,0.36559573351895136,0.25071262919300247,2335,0.4367708631873372,1.0932193183824241
