endpoint,delta_bootstrap_mean,ci_low,ci_high,replicates,delta_point_estimate
CYP1A2,-0.04974193157047514,-0.07372556786111586,-0.02502727491160699,2000,-0.04974771598712102
CYP2C9,-0.38552996652443355,-0.44208427731444955,-0.3296279715296499,2000,-0.38504870737901886
CYP2D6,-0.37525915193362813,-0.4327501413068632,-0.32185610321886365,2000,-0.3769298003436661
CYP3A4,-0.4870848232622017,-0.5386952803301933,-0.43573327786919325,2000,-0.48734093943262413
MA,-0.32440396832268464,-0.349625331708768,-0.2973645186749102,2000,-0.32476679078560755
